observ,profile1,tectonics1,profile2,tectonics2,profile3,tectonics3,profile4,tectonics4,profile5,tectonics5,profile6,tectonics6,profile7,tectonics7,profile8,tectonics8,profile9,tectonics9,profile10,tectonics10,profile11,tectonics11,profile12,tectonics12,profile13,tectonics13,profile14,tectonics14,profile15,tectonics15,profile16,tectonics16,profile17,tectonics17,profile18,tectonics18,profile19,tectonics19,profile20,tectonics20,profile21,tectonics21,profile22,tectonics22,profile23,tectonics23,profile24,tectonics24,profile25,tectonics25
1,-1650,Ph,-1350,Ph,-4700,Ph,-5800,Ph,-5450,Ph,-5750,Ph,-5700,Ph,-2900,Ph,-4700,Ph,-5550,Ph,-4950,Ph,-5650,Ph,-5650,Ph,-5650,Ph,-5650,Ph,-5650,Ph,-5650,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-4950,Ph,-4950,Ph
2,-1650,Ph,-1350,Ph,-4700,Ph,-5800,Ph,-5350,Ph,-5750,Ph,-5700,Ph,-2900,Ph,-4700,Ph,-5550,Ph,-5000,Ph,-5650,Ph,-5650,Ph,-5650,Ph,-5600,Ph,-5600,Ph,-5650,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-4950,Ph,-5050,Ph
3,-1600,Ph,-3050,Ph,-4750,Ph,-5650,Ph,-5250,Ph,-5750,Ph,-5750,Ph,-2800,Ph,-4650,Ph,-5600,Ph,-5050,Ph,-5650,Ph,-5650,Ph,-5650,Ph,-5600,Ph,-5600,Ph,-5650,Ph,-5550,Ph,-5550,Ph,-5550,Ph,-5550,Ph,-5550,Ph,-5550,Ph,-5050,Ph,-5050,Ph
4,-1600,Ph,-3050,Ph,-4750,Ph,-5650,Ph,-5300,Ph,-5750,Ph,-5750,Ph,-2800,Ph,-4650,Ph,-5600,Ph,-5100,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5600,Ph,-5550,Ph,-5550,Ph,-5550,Ph,-5550,Ph,-5550,Ph,-5550,Ph,-5050,Ph,-4300,Ph
5,-5300,Ph,-3100,Ph,-5900,Ph,-5700,Ph,-5500,Ph,-5650,Ph,-5700,Ph,-2100,Ph,-4600,Ph,-5500,Ph,-5150,Ph,-5550,Ph,-5600,Ph,-5600,Ph,-5550,Ph,-5600,Ph,-5600,Ph,-5500,Ph,-5500,Ph,-5500,Ph,-5500,Ph,-5500,Ph,-5500,Ph,-5000,Ph,-4300,Ph
6,-5300,Ph,-3100,Ph,-5900,Ph,-5700,Ph,-5550,Ph,-5650,Ph,-5700,Ph,-2100,Ph,-4600,Ph,-5500,Ph,-5200,Ph,-5500,Ph,-5600,Ph,-5600,Ph,-5500,Ph,-5600,Ph,-5600,Ph,-5500,Ph,-5500,Ph,-5500,Ph,-5500,Ph,-5500,Ph,-5500,Ph,-5000,Ph,-4200,Ph
7,-5400,Ph,-3600,Ph,-5850,Ph,-5850,Ph,-4850,Ph,-5700,Ph,-5750,Ph,-2050,Ph,-4550,Ph,-5500,Ph,-4100,Ph,-5700,Ph,-5550,Ph,-5600,Ph,-5700,Ph,-5550,Ph,-5600,Ph,-2600,Ph,-2900,Ph,-4800,Ph,-4800,Ph,-4950,Ph,-4800,Ph,-4650,Ph,-4200,Ph
8,-5400,Ph,-3600,Ph,-5850,Ph,-5850,Ph,-4950,Ph,-5700,Ph,-5750,Ph,-2050,Ph,-4550,Ph,-5500,Ph,-4100,Ph,-5700,Ph,-5550,Ph,-5600,Ph,-5750,Ph,-5500,Ph,-5600,Ph,-2600,Ph,-2900,Ph,-4850,Ph,-4850,Ph,-5000,Ph,-4800,Ph,-4650,Ph,-4250,Ph
9,-5400,Ph,-3600,Ph,-2800,Ph,-5450,Ph,-5100,Ph,-5650,Ph,-5700,Ph,-2000,Ph,-4500,Ph,-5550,Ph,-4050,Ph,-5700,Ph,-5550,Ph,-5600,Ph,-5750,Ph,-5700,Ph,-5600,Ph,-2650,Ph,-3650,Ph,-4850,Ph,-4850,Ph,-4800,Ph,-4800,Ph,-4700,Ph,-4250,Ph
10,-5400,Ph,-3600,Ph,-2800,Ph,-5350,Ph,-5050,Ph,-5650,Ph,-5700,Ph,-2000,Ph,-4500,Ph,-5550,Ph,-4050,Ph,-5750,Ph,-5500,Ph,-5600,Ph,-5750,Ph,-5750,Ph,-5600,Ph,-2650,Ph,-3650,Ph,-4850,Ph,-4850,Ph,-4800,Ph,-4800,Ph,-4750,Ph,-5000,Ph
11,-5450,Ph,-3550,Ph,-2950,Ph,-5250,Ph,-5000,Ph,-5700,Ph,-5700,Ph,-1950,Ph,-4450,Ph,-4950,Ph,-4000,Ph,-5900,Ph,-5500,Ph,-5550,Ph,-5900,Ph,-5900,Ph,-5550,Ph,-2800,Ph,-3650,Ph,-4850,Ph,-4850,Ph,-4800,Ph,-4800,Ph,-4750,Ph,-5000,Ph
